nimi,lataukset_kk,viimeinen_julkaisu,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
jsx-ast-utils,230302658,2023-07-29,711,1955342,3,0,164,21,False,35,https://github.com/jsx-eslint/jsx-ast-utils
type-detect,229600614,2024-07-25,1263,1341557,1,0,128,8,False,17,https://github.com/chaijs/type-detect
@protobufjs/path,229070126,2017-02-23,60,390695,2,0,10589,92,False,6,https://github.com/dcodeIO/protobuf.js
@types/yargs-parser,228894361,2023-11-07,433,1836231,1,0,51432,691,False,21,https://github.com/DefinitelyTyped/DefinitelyTyped
@protobufjs/aspromise,228412602,2017-04-24,63,390845,2,0,10585,83,False,7,https://github.com/dcodeIO/protobuf.js
is-extendable,227136595,2017-09-11,1051,990766,2,0,19,1,False,4,https://github.com/jonschlinkert/is-extendable
@protobufjs/float,226758119,2017-04-02,60,390575,2,0,10585,83,False,3,https://github.com/dcodeIO/protobuf.js
prompts,225057543,2021-10-07,7975,2075921,1,0,9310,151,False,36,https://github.com/terkelg/prompts
is-obj,223546682,2021-04-16,758,3285488,1,0,40,0,False,4,https://github.com/sindresorhus/is-obj
postgres-date,222834444,2021-12-08,12,221734,1,0,18,1,False,12,https://github.com/bendrucker/postgres-date
inflight,222211868,2016-10-13,2495,2061276,1,0,71,0,True,7,https://github.com/npm/inflight
@types/aria-query,220803714,2023-11-06,67,1229544,1,0,51432,691,False,10,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/trusted-types,220080311,2023-11-21,81,741693,1,0,48512,736,False,15,https://github.com/DefinitelyTyped/DefinitelyTyped
vfile,220041686,2024-08-27,700,524329,1,0,531,0,False,42,https://github.com/vfile/vfile
loader-utils,219476946,2024-06-05,8210,1708802,3,3,771,14,True,50,https://github.com/webpack/loader-utils
thenify-all,218933383,2015-01-10,166,826147,4,0,57,1,False,9,https://github.com/thenables/thenify-all
fetch-blob,218481410,2023-05-18,371,59369,3,0,65,8,False,22,https://github.com/node-fetch/fetch-blob
@protobufjs/pool,218368048,2017-01-25,60,390696,2,0,10589,92,False,7,https://github.com/dcodeIO/protobuf.js
safe-stable-stringify,218327031,2024-08-24,250,75803,1,0,252,7,False,13,https://github.com/BridgeAR/safe-stable-stringify
pngjs,217830484,2023-02-20,1814,260735,1,0,686,47,False,24,https://github.com/pngjs/pngjs
@types/istanbul-lib-coverage,216249419,2023-11-07,97,1996416,1,0,51432,691,False,8,https://github.com/DefinitelyTyped/DefinitelyTyped
axobject-query,216042784,2024-07-15,245,2039445,2,0,34,8,False,19,https://github.com/A11yance/axobject-query
@types/mdast,215830411,2024-05-14,729,228245,1,0,51421,683,False,21,https://github.com/DefinitelyTyped/DefinitelyTyped
lodash.isboolean,215562154,2016-02-03,174,611406,2,0,61277,104,False,11,https://github.com/lodash/lodash
